expected,actual,error,max_error,pass
8.107985496520996,0.0,8.107985496520996,8.107985496520996e-06,False
7.07294225692749,0.0,7.07294225692749,7.07294225692749e-06,False
8.46229362487793,0.0,8.46229362487793,8.46229362487793e-06,False
8.13248348236084,0.0,8.13248348236084,8.132483482360839e-06,False
7.920883655548096,0.0,7.920883655548096,7.920883655548096e-06,False
8.938384056091309,0.0,8.938384056091309,8.938384056091308e-06,False
7.776005744934082,0.0,7.776005744934082,7.776005744934081e-06,False
8.425843238830566,0.0,8.425843238830566,8.425843238830566e-06,False
7.8968095779418945,0.0,7.8968095779418945,7.896809577941895e-06,False
8.148056030273438,0.0,8.148056030273438,8.148056030273437e-06,False
8.050950050354004,0.0,8.050950050354004,8.050950050354004e-06,False
8.74523639678955,0.0,8.74523639678955,8.74523639678955e-06,False
8.406359672546387,0.0,8.406359672546387,8.406359672546387e-06,False
8.394930839538574,0.0,8.394930839538574,8.394930839538575e-06,False
8.140288352966309,0.0,8.140288352966309,8.140288352966308e-06,False
6.5013041496276855,0.0,6.5013041496276855,6.501304149627685e-06,False
9.166695594787598,0.0,9.166695594787598,9.166695594787597e-06,False
7.403434753417969,0.0,7.403434753417969,7.403434753417969e-06,False
7.41780424118042,0.0,7.41780424118042,7.41780424118042e-06,False
8.406553268432617,0.0,8.406553268432617,8.406553268432617e-06,False
9.582483291625977,0.0,9.582483291625977,9.582483291625977e-06,False
6.258503437042236,0.0,6.258503437042236,6.258503437042236e-06,False
7.040290832519531,0.0,7.040290832519531,7.040290832519531e-06,False
7.015505790710449,0.0,7.015505790710449,7.015505790710449e-06,False
9.598775863647461,0.0,9.598775863647461,9.59877586364746e-06,False
7.3429155349731445,0.0,7.3429155349731445,7.3429155349731446e-06,False
7.842025279998779,0.0,7.842025279998779,7.84202527999878e-06,False
8.859418869018555,0.0,8.859418869018555,8.859418869018554e-06,False
7.407785892486572,0.0,7.407785892486572,7.407785892486572e-06,False
8.793155670166016,0.0,8.793155670166016,8.793155670166015e-06,False
8.960504531860352,0.0,8.960504531860352,8.96050453186035e-06,False
5.93958854675293,0.0,5.93958854675293,5.93958854675293e-06,False
8.163714408874512,0.0,8.163714408874512,8.16371440887451e-06,False
7.113251209259033,0.0,7.113251209259033,7.1132512092590325e-06,False
8.522041320800781,0.0,8.522041320800781,8.52204132080078e-06,False
8.136190414428711,0.0,8.136190414428711,8.13619041442871e-06,False
7.932803630828857,0.0,7.932803630828857,7.932803630828858e-06,False
8.875182151794434,0.0,8.875182151794434,8.875182151794433e-06,False
7.795629978179932,0.0,7.795629978179932,7.79562997817993e-06,False
8.431986808776855,0.0,8.431986808776855,8.431986808776855e-06,False
7.859021186828613,0.0,7.859021186828613,7.859021186828613e-06,False
8.165536880493164,0.0,8.165536880493164,8.165536880493163e-06,False
8.009634971618652,0.0,8.009634971618652,8.009634971618653e-06,False
8.741079330444336,0.0,8.741079330444336,8.741079330444335e-06,False
8.374812126159668,0.0,8.374812126159668,8.374812126159668e-06,False
8.38548469543457,0.0,8.38548469543457,8.38548469543457e-06,False
8.110054016113281,0.0,8.110054016113281,8.11005401611328e-06,False
6.517014026641846,0.0,6.517014026641846,6.5170140266418454e-06,False
9.112483978271484,0.0,9.112483978271484,9.112483978271485e-06,False
7.411522388458252,0.0,7.411522388458252,7.411522388458252e-06,False
7.348681926727295,0.0,7.348681926727295,7.348681926727294e-06,False
8.417652130126953,0.0,8.417652130126953,8.417652130126952e-06,False
9.500213623046875,0.0,9.500213623046875,9.500213623046875e-06,False
6.336939334869385,0.0,6.336939334869385,6.3369393348693845e-06,False
7.023193359375,0.0,7.023193359375,7.023193359374999e-06,False
6.989092826843262,0.0,6.989092826843262,6.989092826843262e-06,False
9.565465927124023,0.0,9.565465927124023,9.565465927124023e-06,False
7.3862128257751465,0.0,7.3862128257751465,7.386212825775146e-06,False
7.8148698806762695,0.0,7.8148698806762695,7.81486988067627e-06,False
8.747841835021973,0.0,8.747841835021973,8.747841835021973e-06,False
7.424543857574463,0.0,7.424543857574463,7.424543857574463e-06,False
8.833989143371582,0.0,8.833989143371582,8.833989143371582e-06,False
8.930475234985352,0.0,8.930475234985352,8.930475234985351e-06,False
5.99239444732666,0.0,5.99239444732666,5.99239444732666e-06,False
8.128443717956543,0.0,8.128443717956543,8.128443717956543e-06,False
7.083318710327148,0.0,7.083318710327148,7.083318710327148e-06,False
8.481781959533691,0.0,8.481781959533691,8.48178195953369e-06,False
8.163476943969727,0.0,8.163476943969727,8.163476943969725e-06,False
7.895157337188721,0.0,7.895157337188721,7.89515733718872e-06,False
8.914982795715332,0.0,8.914982795715332,8.914982795715332e-06,False
7.815637111663818,0.0,7.815637111663818,7.815637111663818e-06,False
8.48354721069336,0.0,8.48354721069336,8.483547210693358e-06,False
7.883612632751465,0.0,7.883612632751465,7.883612632751465e-06,False
8.075044631958008,0.0,8.075044631958008,8.075044631958007e-06,False
8.022514343261719,0.0,8.022514343261719,8.022514343261718e-06,False
8.75473690032959,0.0,8.75473690032959,8.75473690032959e-06,False
8.38523006439209,0.0,8.38523006439209,8.38523006439209e-06,False
8.387149810791016,0.0,8.387149810791016,8.387149810791015e-06,False
8.087010383605957,0.0,8.087010383605957,8.087010383605956e-06,False
6.447857856750488,0.0,6.447857856750488,6.447857856750488e-06,False
9.167398452758789,0.0,9.167398452758789,9.16739845275879e-06,False
7.43141508102417,0.0,7.43141508102417,7.43141508102417e-06,False
7.407820224761963,0.0,7.407820224761963,7.407820224761962e-06,False
8.39100170135498,0.0,8.39100170135498,8.39100170135498e-06,False
